timestamp, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], power.draw [W]
2026/01/03 15:37:54.592, NVIDIA GeForce RTX 4090, 93 %, 81 %, 18068 MiB, 288.08 W
2026/01/03 15:37:55.594, NVIDIA GeForce RTX 4090, 95 %, 27 %, 17956 MiB, 271.41 W
2026/01/03 15:37:56.596, NVIDIA GeForce RTX 4090, 92 %, 73 %, 17408 MiB, 305.11 W
2026/01/03 15:37:57.598, NVIDIA GeForce RTX 4090, 97 %, 20 %, 17967 MiB, 267.50 W
2026/01/03 15:37:58.600, NVIDIA GeForce RTX 4090, 96 %, 46 %, 17443 MiB, 297.60 W
2026/01/03 15:37:59.603, NVIDIA GeForce RTX 4090, 97 %, 40 %, 17981 MiB, 299.68 W
2026/01/03 15:38:00.606, NVIDIA GeForce RTX 4090, 90 %, 79 %, 17442 MiB, 288.95 W
2026/01/03 15:38:01.609, NVIDIA GeForce RTX 4090, 78 %, 37 %, 17440 MiB, 286.36 W
2026/01/03 15:38:02.611, NVIDIA GeForce RTX 4090, 87 %, 55 %, 17446 MiB, 291.13 W
2026/01/03 15:38:03.616, NVIDIA GeForce RTX 4090, 80 %, 54 %, 17440 MiB, 315.03 W
2026/01/03 15:38:04.619, NVIDIA GeForce RTX 4090, 96 %, 47 %, 17432 MiB, 294.11 W
2026/01/03 15:38:05.622, NVIDIA GeForce RTX 4090, 78 %, 43 %, 17429 MiB, 291.26 W
2026/01/03 15:38:06.624, NVIDIA GeForce RTX 4090, 87 %, 58 %, 17440 MiB, 293.90 W
2026/01/03 15:38:07.627, NVIDIA GeForce RTX 4090, 90 %, 84 %, 18052 MiB, 318.81 W
2026/01/03 15:38:08.630, NVIDIA GeForce RTX 4090, 94 %, 13 %, 17957 MiB, 276.51 W
2026/01/03 15:38:09.632, NVIDIA GeForce RTX 4090, 96 %, 22 %, 17831 MiB, 288.46 W
2026/01/03 15:38:10.633, NVIDIA GeForce RTX 4090, 79 %, 35 %, 17844 MiB, 287.22 W
2026/01/03 15:38:11.635, NVIDIA GeForce RTX 4090, 86 %, 48 %, 17851 MiB, 294.14 W
2026/01/03 15:38:12.637, NVIDIA GeForce RTX 4090, 72 %, 64 %, 17467 MiB, 308.80 W
2026/01/03 15:38:13.645, NVIDIA GeForce RTX 4090, 90 %, 11 %, 18103 MiB, 285.89 W
2026/01/03 15:38:14.647, NVIDIA GeForce RTX 4090, 94 %, 84 %, 18099 MiB, 319.07 W
