timestamp, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], power.draw [W]
2026/01/03 15:48:00.412, NVIDIA GeForce RTX 4090, 67 %, 48 %, 17457 MiB, 280.72 W
2026/01/03 15:48:01.418, NVIDIA GeForce RTX 4090, 97 %, 41 %, 17955 MiB, 310.07 W
2026/01/03 15:48:02.425, NVIDIA GeForce RTX 4090, 96 %, 25 %, 17950 MiB, 271.69 W
2026/01/03 15:48:03.428, NVIDIA GeForce RTX 4090, 79 %, 41 %, 17948 MiB, 287.22 W
2026/01/03 15:48:04.433, NVIDIA GeForce RTX 4090, 67 %, 59 %, 17450 MiB, 305.89 W
2026/01/03 15:48:05.436, NVIDIA GeForce RTX 4090, 96 %, 43 %, 17942 MiB, 305.24 W
2026/01/03 15:48:06.438, NVIDIA GeForce RTX 4090, 95 %, 30 %, 17951 MiB, 277.83 W
2026/01/03 15:48:07.446, NVIDIA GeForce RTX 4090, 68 %, 54 %, 17845 MiB, 270.75 W
2026/01/03 15:48:08.451, NVIDIA GeForce RTX 4090, 92 %, 73 %, 17955 MiB, 320.55 W
2026/01/03 15:48:09.456, NVIDIA GeForce RTX 4090, 96 %, 21 %, 17949 MiB, 288.52 W
2026/01/03 15:48:10.459, NVIDIA GeForce RTX 4090, 72 %, 7 %, 17837 MiB, 270.73 W
2026/01/03 15:48:11.468, NVIDIA GeForce RTX 4090, 96 %, 51 %, 17439 MiB, 315.20 W
2026/01/03 15:48:12.472, NVIDIA GeForce RTX 4090, 96 %, 46 %, 17955 MiB, 295.90 W
2026/01/03 15:48:13.479, NVIDIA GeForce RTX 4090, 78 %, 13 %, 17955 MiB, 272.24 W
2026/01/03 15:48:14.481, NVIDIA GeForce RTX 4090, 78 %, 23 %, 17837 MiB, 289.70 W
2026/01/03 15:48:18.412, NVIDIA GeForce RTX 4090, 96 %, 52 %, 17947 MiB, 315.89 W
2026/01/03 15:48:19.418, NVIDIA GeForce RTX 4090, 96 %, 25 %, 17947 MiB, 266.82 W
2026/01/03 15:48:20.421, NVIDIA GeForce RTX 4090, 89 %, 86 %, 17405 MiB, 306.81 W
2026/01/03 15:48:21.424, NVIDIA GeForce RTX 4090, 98 %, 41 %, 17955 MiB, 296.80 W
2026/01/03 15:48:22.427, NVIDIA GeForce RTX 4090, 77 %, 46 %, 17843 MiB, 265.54 W
2026/01/03 15:48:23.429, NVIDIA GeForce RTX 4090, 78 %, 31 %, 17455 MiB, 299.29 W
2026/01/03 15:48:24.434, NVIDIA GeForce RTX 4090, 69 %, 32 %, 17838 MiB, 286.16 W
2026/01/03 15:48:25.436, NVIDIA GeForce RTX 4090, 96 %, 24 %, 17838 MiB, 298.86 W
2026/01/03 15:48:26.449, NVIDIA GeForce RTX 4090, 96 %, 22 %, 17955 MiB, 308.68 W
2026/01/03 15:48:27.452, NVIDIA GeForce RTX 4090, 96 %, 47 %, 17955 MiB, 302.99 W
2026/01/03 15:48:28.464, NVIDIA GeForce RTX 4090, 96 %, 51 %, 17455 MiB, 281.58 W
2026/01/03 15:48:29.467, NVIDIA GeForce RTX 4090, 65 %, 6 %, 17450 MiB, 279.25 W
2026/01/03 15:48:30.479, NVIDIA GeForce RTX 4090, 72 %, 17 %, 17838 MiB, 281.31 W
2026/01/03 15:48:31.482, NVIDIA GeForce RTX 4090, 73 %, 22 %, 17955 MiB, 304.80 W
2026/01/03 15:48:32.489, NVIDIA GeForce RTX 4090, 96 %, 31 %, 17955 MiB, 307.52 W
2026/01/03 15:48:33.494, NVIDIA GeForce RTX 4090, 95 %, 32 %, 17400 MiB, 312.10 W
2026/01/03 15:48:34.500, NVIDIA GeForce RTX 4090, 80 %, 46 %, 17450 MiB, 285.88 W
2026/01/03 15:48:35.503, NVIDIA GeForce RTX 4090, 79 %, 45 %, 17838 MiB, 279.37 W
2026/01/03 15:48:36.507, NVIDIA GeForce RTX 4090, 96 %, 20 %, 17955 MiB, 301.80 W
2026/01/03 15:48:37.511, NVIDIA GeForce RTX 4090, 96 %, 22 %, 17951 MiB, 310.44 W
2026/01/03 15:48:38.516, NVIDIA GeForce RTX 4090, 81 %, 13 %, 17836 MiB, 273.36 W
2026/01/03 15:48:39.521, NVIDIA GeForce RTX 4090, 0 %, 0 %, 17400 MiB, 256.32 W
2026/01/03 15:48:40.525, NVIDIA GeForce RTX 4090, 0 %, 0 %, 17400 MiB, 101.22 W
2026/01/03 15:48:47.836, NVIDIA GeForce RTX 4090, 85 %, 82 %, 17455 MiB, 228.65 W
2026/01/03 15:48:48.838, NVIDIA GeForce RTX 4090, 69 %, 20 %, 17843 MiB, 264.16 W
2026/01/03 15:48:49.842, NVIDIA GeForce RTX 4090, 96 %, 39 %, 17973 MiB, 299.98 W
2026/01/03 15:48:53.782, NVIDIA GeForce RTX 4090, 96 %, 37 %, 18009 MiB, 294.94 W
2026/01/03 15:48:54.787, NVIDIA GeForce RTX 4090, 91 %, 84 %, 17944 MiB, 283.79 W
2026/01/03 15:48:55.791, NVIDIA GeForce RTX 4090, 90 %, 87 %, 18004 MiB, 283.66 W
2026/01/03 15:48:56.796, NVIDIA GeForce RTX 4090, 90 %, 87 %, 17992 MiB, 283.47 W
2026/01/03 15:48:57.806, NVIDIA GeForce RTX 4090, 93 %, 71 %, 17957 MiB, 282.99 W
2026/01/03 15:48:58.813, NVIDIA GeForce RTX 4090, 90 %, 87 %, 17993 MiB, 282.52 W
2026/01/03 15:48:59.820, NVIDIA GeForce RTX 4090, 90 %, 84 %, 17983 MiB, 281.69 W
2026/01/03 15:49:00.826, NVIDIA GeForce RTX 4090, 90 %, 87 %, 18009 MiB, 285.96 W
2026/01/03 15:49:01.831, NVIDIA GeForce RTX 4090, 86 %, 83 %, 17455 MiB, 266.68 W
2026/01/03 15:49:02.834, NVIDIA GeForce RTX 4090, 76 %, 72 %, 17455 MiB, 294.94 W
2026/01/03 15:49:03.836, NVIDIA GeForce RTX 4090, 98 %, 41 %, 17969 MiB, 300.90 W
2026/01/03 15:49:04.838, NVIDIA GeForce RTX 4090, 89 %, 85 %, 17969 MiB, 283.78 W
2026/01/03 15:49:05.840, NVIDIA GeForce RTX 4090, 90 %, 87 %, 18005 MiB, 285.04 W
2026/01/03 15:49:07.110, NVIDIA GeForce RTX 4090, 71 %, 9 %, 17845 MiB, 246.76 W
2026/01/03 15:49:08.112, NVIDIA GeForce RTX 4090, 90 %, 87 %, 17439 MiB, 286.38 W
2026/01/03 15:49:09.114, NVIDIA GeForce RTX 4090, 95 %, 29 %, 17991 MiB, 284.98 W
2026/01/03 15:49:10.117, NVIDIA GeForce RTX 4090, 95 %, 32 %, 17973 MiB, 304.19 W
2026/01/03 15:49:11.123, NVIDIA GeForce RTX 4090, 95 %, 62 %, 18005 MiB, 284.95 W
2026/01/03 15:49:12.129, NVIDIA GeForce RTX 4090, 90 %, 87 %, 18007 MiB, 283.97 W
2026/01/03 15:49:13.137, NVIDIA GeForce RTX 4090, 64 %, 32 %, 17451 MiB, 263.75 W
2026/01/03 15:49:14.146, NVIDIA GeForce RTX 4090, 70 %, 27 %, 17839 MiB, 280.78 W
2026/01/03 15:49:15.156, NVIDIA GeForce RTX 4090, 95 %, 61 %, 18001 MiB, 308.51 W
2026/01/03 15:49:16.159, NVIDIA GeForce RTX 4090, 92 %, 77 %, 17993 MiB, 284.70 W
2026/01/03 15:49:17.167, NVIDIA GeForce RTX 4090, 97 %, 38 %, 17935 MiB, 286.03 W
2026/01/03 15:49:18.174, NVIDIA GeForce RTX 4090, 95 %, 26 %, 17955 MiB, 295.40 W
2026/01/03 15:49:19.197, NVIDIA GeForce RTX 4090, 98 %, 37 %, 17951 MiB, 301.12 W
2026/01/03 15:49:20.200, NVIDIA GeForce RTX 4090, 96 %, 32 %, 17949 MiB, 293.65 W
2026/01/03 15:49:21.214, NVIDIA GeForce RTX 4090, 98 %, 38 %, 17951 MiB, 292.01 W
2026/01/03 15:49:22.224, NVIDIA GeForce RTX 4090, 0 %, 0 %, 17401 MiB, 106.04 W
2026/01/03 15:49:23.233, NVIDIA GeForce RTX 4090, 82 %, 9 %, 17823 MiB, 203.35 W
2026/01/03 15:49:24.453, NVIDIA GeForce RTX 4090, 96 %, 51 %, 17955 MiB, 291.66 W
2026/01/03 15:49:28.414, NVIDIA GeForce RTX 4090, 95 %, 32 %, 17973 MiB, 290.17 W
2026/01/03 15:49:29.419, NVIDIA GeForce RTX 4090, 97 %, 37 %, 17951 MiB, 285.62 W
2026/01/03 15:49:30.422, NVIDIA GeForce RTX 4090, 95 %, 32 %, 17968 MiB, 294.64 W
2026/01/03 15:49:31.424, NVIDIA GeForce RTX 4090, 0 %, 0 %, 17400 MiB, 106.83 W
2026/01/03 15:49:32.426, NVIDIA GeForce RTX 4090, 0 %, 0 %, 17399 MiB, 74.49 W
2026/01/03 15:49:33.433, NVIDIA GeForce RTX 4090, 0 %, 0 %, 17399 MiB, 47.36 W
2026/01/03 15:49:34.435, NVIDIA GeForce RTX 4090, 0 %, 0 %, 17399 MiB, 47.61 W
2026/01/03 15:49:35.439, NVIDIA GeForce RTX 4090, 0 %, 0 %, 17399 MiB, 47.76 W
2026/01/03 15:49:36.443, NVIDIA GeForce RTX 4090, 0 %, 1 %, 17399 MiB, 46.18 W
2026/01/03 15:49:37.450, NVIDIA GeForce RTX 4090, 0 %, 1 %, 17399 MiB, 41.45 W
2026/01/03 15:49:38.456, NVIDIA GeForce RTX 4090, 79 %, 13 %, 17823 MiB, 125.58 W
2026/01/03 15:49:39.458, NVIDIA GeForce RTX 4090, 67 %, 42 %, 17861 MiB, 283.27 W
2026/01/03 15:49:40.460, NVIDIA GeForce RTX 4090, 94 %, 15 %, 17953 MiB, 298.69 W
2026/01/03 15:49:41.465, NVIDIA GeForce RTX 4090, 80 %, 10 %, 17953 MiB, 300.83 W
2026/01/03 15:49:42.479, NVIDIA GeForce RTX 4090, 95 %, 32 %, 17947 MiB, 287.55 W
2026/01/03 15:49:43.886, NVIDIA GeForce RTX 4090, 89 %, 63 %, 17401 MiB, 290.76 W
2026/01/03 15:49:44.890, NVIDIA GeForce RTX 4090, 96 %, 45 %, 17429 MiB, 290.24 W
2026/01/03 15:49:45.893, NVIDIA GeForce RTX 4090, 91 %, 88 %, 18069 MiB, 292.33 W
2026/01/03 15:49:46.895, NVIDIA GeForce RTX 4090, 79 %, 13 %, 17835 MiB, 264.76 W
2026/01/03 15:49:47.899, NVIDIA GeForce RTX 4090, 86 %, 76 %, 17441 MiB, 320.23 W
2026/01/03 15:49:48.903, NVIDIA GeForce RTX 4090, 85 %, 11 %, 18055 MiB, 267.90 W
2026/01/03 15:49:49.913, NVIDIA GeForce RTX 4090, 0 %, 0 %, 17390 MiB, 243.55 W
2026/01/03 15:49:50.920, NVIDIA GeForce RTX 4090, 0 %, 0 %, 17383 MiB, 83.71 W
2026/01/03 15:49:51.925, NVIDIA GeForce RTX 4090, 0 %, 0 %, 17383 MiB, 76.93 W
2026/01/03 15:49:52.932, NVIDIA GeForce RTX 4090, 0 %, 1 %, 17383 MiB, 44.55 W
2026/01/03 15:49:53.938, NVIDIA GeForce RTX 4090, 77 %, 55 %, 17837 MiB, 136.96 W
2026/01/03 15:49:54.942, NVIDIA GeForce RTX 4090, 97 %, 37 %, 17955 MiB, 318.31 W
2026/01/03 15:49:55.944, NVIDIA GeForce RTX 4090, 96 %, 37 %, 17867 MiB, 298.07 W
2026/01/03 15:49:56.947, NVIDIA GeForce RTX 4090, 80 %, 46 %, 17455 MiB, 288.98 W
2026/01/03 15:49:57.951, NVIDIA GeForce RTX 4090, 80 %, 52 %, 17861 MiB, 280.43 W
2026/01/03 15:49:58.952, NVIDIA GeForce RTX 4090, 0 %, 0 %, 17401 MiB, 202.15 W
2026/01/03 15:49:59.958, NVIDIA GeForce RTX 4090, 90 %, 80 %, 17439 MiB, 206.05 W
2026/01/03 15:50:03.893, NVIDIA GeForce RTX 4090, 78 %, 15 %, 17843 MiB, 286.31 W
2026/01/03 15:50:04.895, NVIDIA GeForce RTX 4090, 96 %, 46 %, 17455 MiB, 308.36 W
2026/01/03 15:50:05.898, NVIDIA GeForce RTX 4090, 79 %, 8 %, 17843 MiB, 283.52 W
2026/01/03 15:50:06.900, NVIDIA GeForce RTX 4090, 83 %, 10 %, 17950 MiB, 309.05 W
2026/01/03 15:50:07.903, NVIDIA GeForce RTX 4090, 86 %, 11 %, 17838 MiB, 285.73 W
2026/01/03 15:50:08.905, NVIDIA GeForce RTX 4090, 75 %, 52 %, 17839 MiB, 290.83 W
2026/01/03 15:50:09.912, NVIDIA GeForce RTX 4090, 95 %, 58 %, 17953 MiB, 286.44 W
2026/01/03 15:50:10.928, NVIDIA GeForce RTX 4090, 96 %, 27 %, 17953 MiB, 287.53 W
2026/01/03 15:50:11.940, NVIDIA GeForce RTX 4090, 96 %, 31 %, 17948 MiB, 275.34 W
2026/01/03 15:50:12.947, NVIDIA GeForce RTX 4090, 0 %, 0 %, 17400 MiB, 247.49 W
2026/01/03 15:50:13.954, NVIDIA GeForce RTX 4090, 1 %, 0 %, 17450 MiB, 83.78 W
2026/01/03 15:50:14.957, NVIDIA GeForce RTX 4090, 97 %, 38 %, 18051 MiB, 302.93 W
2026/01/03 15:50:15.959, NVIDIA GeForce RTX 4090, 96 %, 49 %, 17997 MiB, 302.13 W
2026/01/03 15:50:17.049, NVIDIA GeForce RTX 4090, 95 %, 32 %, 17405 MiB, 297.09 W
2026/01/03 15:50:18.052, NVIDIA GeForce RTX 4090, 97 %, 51 %, 17455 MiB, 299.58 W
2026/01/03 15:50:19.057, NVIDIA GeForce RTX 4090, 98 %, 37 %, 17400 MiB, 298.15 W
2026/01/03 15:50:20.062, NVIDIA GeForce RTX 4090, 0 %, 0 %, 17400 MiB, 101.21 W
2026/01/03 15:50:21.064, NVIDIA GeForce RTX 4090, 0 %, 0 %, 17399 MiB, 68.45 W
2026/01/03 15:50:22.071, NVIDIA GeForce RTX 4090, 0 %, 0 %, 17405 MiB, 47.57 W
2026/01/03 15:50:23.078, NVIDIA GeForce RTX 4090, 0 %, 0 %, 17405 MiB, 47.52 W
2026/01/03 15:50:24.084, NVIDIA GeForce RTX 4090, 0 %, 2 %, 17405 MiB, 46.04 W
2026/01/03 15:50:25.089, NVIDIA GeForce RTX 4090, 0 %, 2 %, 17405 MiB, 41.07 W
2026/01/03 15:50:26.092, NVIDIA GeForce RTX 4090, 0 %, 3 %, 17405 MiB, 36.05 W
2026/01/03 15:50:27.098, NVIDIA GeForce RTX 4090, 0 %, 3 %, 17405 MiB, 34.30 W
2026/01/03 15:50:28.107, NVIDIA GeForce RTX 4090, 0 %, 3 %, 17405 MiB, 34.30 W
2026/01/03 15:50:30.425, NVIDIA GeForce RTX 4090, 74 %, 19 %, 18011 MiB, 182.80 W
2026/01/03 15:50:31.427, NVIDIA GeForce RTX 4090, 78 %, 9 %, 17843 MiB, 264.47 W
2026/01/03 15:50:32.430, NVIDIA GeForce RTX 4090, 76 %, 44 %, 17839 MiB, 290.98 W
2026/01/03 15:50:33.435, NVIDIA GeForce RTX 4090, 57 %, 12 %, 17839 MiB, 281.71 W
2026/01/03 15:50:34.438, NVIDIA GeForce RTX 4090, 65 %, 37 %, 17843 MiB, 281.39 W
2026/01/03 15:50:35.440, NVIDIA GeForce RTX 4090, 96 %, 19 %, 17955 MiB, 292.95 W
2026/01/03 15:50:39.375, NVIDIA GeForce RTX 4090, 79 %, 13 %, 17953 MiB, 288.52 W
2026/01/03 15:50:40.377, NVIDIA GeForce RTX 4090, 92 %, 24 %, 17948 MiB, 287.56 W
2026/01/03 15:50:41.380, NVIDIA GeForce RTX 4090, 73 %, 11 %, 17948 MiB, 282.74 W
2026/01/03 15:50:42.381, NVIDIA GeForce RTX 4090, 88 %, 15 %, 17841 MiB, 278.44 W
2026/01/03 15:50:43.383, NVIDIA GeForce RTX 4090, 64 %, 37 %, 17841 MiB, 272.24 W
2026/01/03 15:50:44.387, NVIDIA GeForce RTX 4090, 74 %, 15 %, 17837 MiB, 286.11 W
2026/01/03 15:50:45.388, NVIDIA GeForce RTX 4090, 70 %, 51 %, 17837 MiB, 289.21 W
2026/01/03 15:50:46.391, NVIDIA GeForce RTX 4090, 60 %, 26 %, 17455 MiB, 288.28 W
2026/01/03 15:50:47.394, NVIDIA GeForce RTX 4090, 91 %, 49 %, 17455 MiB, 285.38 W
2026/01/03 15:50:48.397, NVIDIA GeForce RTX 4090, 88 %, 57 %, 17953 MiB, 285.70 W
2026/01/03 15:50:49.406, NVIDIA GeForce RTX 4090, 94 %, 35 %, 17949 MiB, 276.90 W
2026/01/03 15:50:50.410, NVIDIA GeForce RTX 4090, 96 %, 37 %, 17949 MiB, 270.77 W
2026/01/03 15:50:51.413, NVIDIA GeForce RTX 4090, 95 %, 24 %, 17955 MiB, 290.52 W
2026/01/03 15:50:52.419, NVIDIA GeForce RTX 4090, 94 %, 15 %, 17953 MiB, 301.88 W
2026/01/03 15:50:53.423, NVIDIA GeForce RTX 4090, 96 %, 37 %, 17953 MiB, 299.52 W
2026/01/03 15:50:54.428, NVIDIA GeForce RTX 4090, 95 %, 27 %, 17948 MiB, 295.03 W
2026/01/03 15:50:55.431, NVIDIA GeForce RTX 4090, 97 %, 20 %, 17950 MiB, 264.89 W
2026/01/03 15:50:56.435, NVIDIA GeForce RTX 4090, 93 %, 70 %, 18007 MiB, 311.09 W
2026/01/03 15:50:57.445, NVIDIA GeForce RTX 4090, 69 %, 59 %, 17459 MiB, 280.23 W
2026/01/03 15:50:58.448, NVIDIA GeForce RTX 4090, 98 %, 40 %, 17949 MiB, 306.23 W
2026/01/03 15:50:59.459, NVIDIA GeForce RTX 4090, 74 %, 40 %, 17878 MiB, 268.18 W
2026/01/03 15:51:00.462, NVIDIA GeForce RTX 4090, 96 %, 38 %, 18016 MiB, 315.09 W
2026/01/03 15:51:01.464, NVIDIA GeForce RTX 4090, 95 %, 26 %, 18022 MiB, 271.33 W
2026/01/03 15:51:02.468, NVIDIA GeForce RTX 4090, 94 %, 65 %, 18058 MiB, 312.59 W
2026/01/03 15:51:03.474, NVIDIA GeForce RTX 4090, 95 %, 25 %, 18003 MiB, 271.82 W
2026/01/03 15:51:04.477, NVIDIA GeForce RTX 4090, 97 %, 22 %, 18018 MiB, 308.96 W
2026/01/03 15:51:05.487, NVIDIA GeForce RTX 4090, 98 %, 41 %, 18018 MiB, 309.07 W
2026/01/03 15:51:06.490, NVIDIA GeForce RTX 4090, 97 %, 22 %, 18011 MiB, 287.86 W
2026/01/03 15:51:07.493, NVIDIA GeForce RTX 4090, 97 %, 39 %, 18006 MiB, 299.18 W
2026/01/03 15:51:08.496, NVIDIA GeForce RTX 4090, 97 %, 41 %, 17456 MiB, 298.57 W
2026/01/03 15:51:09.498, NVIDIA GeForce RTX 4090, 81 %, 55 %, 17501 MiB, 297.49 W
2026/01/03 15:51:10.501, NVIDIA GeForce RTX 4090, 94 %, 26 %, 18011 MiB, 299.38 W
2026/01/03 15:51:14.434, NVIDIA GeForce RTX 4090, 97 %, 17 %, 17846 MiB, 272.73 W
2026/01/03 15:51:15.436, NVIDIA GeForce RTX 4090, 68 %, 49 %, 17851 MiB, 283.85 W
2026/01/03 15:51:16.438, NVIDIA GeForce RTX 4090, 68 %, 20 %, 17463 MiB, 295.67 W
2026/01/03 15:51:17.440, NVIDIA GeForce RTX 4090, 62 %, 52 %, 17459 MiB, 289.97 W
2026/01/03 15:51:18.443, NVIDIA GeForce RTX 4090, 85 %, 80 %, 18098 MiB, 319.12 W
2026/01/03 15:51:19.447, NVIDIA GeForce RTX 4090, 77 %, 75 %, 17461 MiB, 283.47 W
2026/01/03 15:51:20.451, NVIDIA GeForce RTX 4090, 94 %, 14 %, 18103 MiB, 286.31 W
2026/01/03 15:51:21.453, NVIDIA GeForce RTX 4090, 81 %, 65 %, 18083 MiB, 309.77 W
2026/01/03 15:51:22.456, NVIDIA GeForce RTX 4090, 96 %, 38 %, 18081 MiB, 297.29 W
2026/01/03 15:51:23.459, NVIDIA GeForce RTX 4090, 95 %, 24 %, 18007 MiB, 268.86 W
2026/01/03 15:51:24.462, NVIDIA GeForce RTX 4090, 81 %, 63 %, 17457 MiB, 300.80 W
2026/01/03 15:51:25.466, NVIDIA GeForce RTX 4090, 98 %, 39 %, 18077 MiB, 292.97 W
2026/01/03 15:51:26.470, NVIDIA GeForce RTX 4090, 72 %, 32 %, 17836 MiB, 265.86 W
2026/01/03 15:51:27.472, NVIDIA GeForce RTX 4090, 96 %, 45 %, 18017 MiB, 312.08 W
2026/01/03 15:51:28.475, NVIDIA GeForce RTX 4090, 85 %, 82 %, 18015 MiB, 274.33 W
2026/01/03 15:51:29.478, NVIDIA GeForce RTX 4090, 93 %, 47 %, 17408 MiB, 285.93 W
2026/01/03 15:51:30.482, NVIDIA GeForce RTX 4090, 95 %, 52 %, 17458 MiB, 281.11 W
2026/01/03 15:51:31.485, NVIDIA GeForce RTX 4090, 66 %, 17 %, 17698 MiB, 286.85 W
2026/01/03 15:51:32.487, NVIDIA GeForce RTX 4090, 73 %, 40 %, 17851 MiB, 290.08 W
2026/01/03 15:51:33.489, NVIDIA GeForce RTX 4090, 96 %, 20 %, 17847 MiB, 305.11 W
2026/01/03 15:51:34.491, NVIDIA GeForce RTX 4090, 84 %, 11 %, 17961 MiB, 298.86 W
2026/01/03 15:51:35.493, NVIDIA GeForce RTX 4090, 95 %, 35 %, 17957 MiB, 304.16 W
2026/01/03 15:51:36.516, NVIDIA GeForce RTX 4090, 88 %, 85 %, 17457 MiB, 280.28 W
2026/01/03 15:51:37.520, NVIDIA GeForce RTX 4090, 75 %, 47 %, 17463 MiB, 290.25 W
2026/01/03 15:51:38.525, NVIDIA GeForce RTX 4090, 80 %, 58 %, 17463 MiB, 286.16 W
2026/01/03 15:51:39.527, NVIDIA GeForce RTX 4090, 74 %, 11 %, 17849 MiB, 286.61 W
2026/01/03 15:51:40.530, NVIDIA GeForce RTX 4090, 61 %, 28 %, 17846 MiB, 290.87 W
2026/01/03 15:51:41.532, NVIDIA GeForce RTX 4090, 89 %, 56 %, 17458 MiB, 290.36 W
2026/01/03 15:51:42.533, NVIDIA GeForce RTX 4090, 63 %, 49 %, 17463 MiB, 285.62 W
2026/01/03 15:51:43.536, NVIDIA GeForce RTX 4090, 94 %, 52 %, 17463 MiB, 288.76 W
2026/01/03 15:51:44.539, NVIDIA GeForce RTX 4090, 79 %, 23 %, 17849 MiB, 285.00 W
2026/01/03 15:51:45.541, NVIDIA GeForce RTX 4090, 75 %, 26 %, 17954 MiB, 294.80 W
2026/01/03 15:51:49.480, NVIDIA GeForce RTX 4090, 78 %, 7 %, 17861 MiB, 279.61 W
2026/01/03 15:51:50.485, NVIDIA GeForce RTX 4090, 64 %, 49 %, 17851 MiB, 291.08 W
2026/01/03 15:51:51.487, NVIDIA GeForce RTX 4090, 94 %, 19 %, 17961 MiB, 299.32 W
2026/01/03 15:51:52.489, NVIDIA GeForce RTX 4090, 94 %, 15 %, 17981 MiB, 306.42 W
2026/01/03 15:51:53.492, NVIDIA GeForce RTX 4090, 97 %, 37 %, 17957 MiB, 299.67 W
2026/01/03 15:51:54.498, NVIDIA GeForce RTX 4090, 98 %, 37 %, 17432 MiB, 295.09 W
2026/01/03 15:51:55.502, NVIDIA GeForce RTX 4090, 77 %, 56 %, 17463 MiB, 292.74 W
2026/01/03 15:51:56.505, NVIDIA GeForce RTX 4090, 89 %, 40 %, 17957 MiB, 299.18 W
2026/01/03 15:51:57.510, NVIDIA GeForce RTX 4090, 96 %, 54 %, 17963 MiB, 299.47 W
2026/01/03 15:51:58.512, NVIDIA GeForce RTX 4090, 96 %, 24 %, 17958 MiB, 292.57 W
2026/01/03 15:51:59.515, NVIDIA GeForce RTX 4090, 97 %, 19 %, 17844 MiB, 278.45 W
2026/01/03 15:52:00.516, NVIDIA GeForce RTX 4090, 90 %, 85 %, 17463 MiB, 305.88 W
2026/01/03 15:52:01.519, NVIDIA GeForce RTX 4090, 97 %, 43 %, 17963 MiB, 305.46 W
2026/01/03 15:52:02.525, NVIDIA GeForce RTX 4090, 97 %, 19 %, 17963 MiB, 285.58 W
2026/01/03 15:52:03.527, NVIDIA GeForce RTX 4090, 84 %, 81 %, 17843 MiB, 296.99 W
2026/01/03 15:52:04.529, NVIDIA GeForce RTX 4090, 96 %, 59 %, 17958 MiB, 311.58 W
2026/01/03 15:52:05.531, NVIDIA GeForce RTX 4090, 95 %, 29 %, 17970 MiB, 292.57 W
2026/01/03 15:52:06.534, NVIDIA GeForce RTX 4090, 95 %, 27 %, 17961 MiB, 282.18 W
2026/01/03 15:52:07.537, NVIDIA GeForce RTX 4090, 76 %, 55 %, 17851 MiB, 284.49 W
2026/01/03 15:52:08.539, NVIDIA GeForce RTX 4090, 73 %, 68 %, 17458 MiB, 315.38 W
2026/01/03 15:52:09.543, NVIDIA GeForce RTX 4090, 97 %, 39 %, 17956 MiB, 320.86 W
2026/01/03 15:52:10.545, NVIDIA GeForce RTX 4090, 98 %, 37 %, 17952 MiB, 296.32 W
2026/01/03 15:52:11.547, NVIDIA GeForce RTX 4090, 81 %, 18 %, 17954 MiB, 272.77 W
2026/01/03 15:52:12.550, NVIDIA GeForce RTX 4090, 77 %, 73 %, 17467 MiB, 305.43 W
2026/01/03 15:52:13.553, NVIDIA GeForce RTX 4090, 96 %, 40 %, 17963 MiB, 304.75 W
2026/01/03 15:52:14.556, NVIDIA GeForce RTX 4090, 91 %, 13 %, 17841 MiB, 266.84 W
2026/01/03 15:52:15.558, NVIDIA GeForce RTX 4090, 91 %, 88 %, 17431 MiB, 314.33 W
2026/01/03 15:52:16.563, NVIDIA GeForce RTX 4090, 96 %, 44 %, 17955 MiB, 298.26 W
2026/01/03 15:52:17.565, NVIDIA GeForce RTX 4090, 86 %, 83 %, 17463 MiB, 278.61 W
2026/01/03 15:52:18.569, NVIDIA GeForce RTX 4090, 96 %, 34 %, 17959 MiB, 291.44 W
2026/01/03 15:52:19.571, NVIDIA GeForce RTX 4090, 89 %, 41 %, 17961 MiB, 296.36 W
2026/01/03 15:52:20.575, NVIDIA GeForce RTX 4090, 64 %, 11 %, 17961 MiB, 275.15 W
2026/01/03 15:52:24.502, NVIDIA GeForce RTX 4090, 71 %, 55 %, 17458 MiB, 283.49 W
2026/01/03 15:52:25.504, NVIDIA GeForce RTX 4090, 97 %, 42 %, 17958 MiB, 304.40 W
2026/01/03 15:52:26.508, NVIDIA GeForce RTX 4090, 95 %, 39 %, 17965 MiB, 279.85 W
2026/01/03 15:52:27.511, NVIDIA GeForce RTX 4090, 97 %, 38 %, 18019 MiB, 298.26 W
2026/01/03 15:52:28.514, NVIDIA GeForce RTX 4090, 86 %, 83 %, 18065 MiB, 281.51 W
2026/01/03 15:52:29.516, NVIDIA GeForce RTX 4090, 92 %, 67 %, 18075 MiB, 285.28 W
2026/01/03 15:52:30.518, NVIDIA GeForce RTX 4090, 72 %, 55 %, 17457 MiB, 249.99 W
2026/01/03 15:52:31.521, NVIDIA GeForce RTX 4090, 80 %, 77 %, 18073 MiB, 288.82 W
2026/01/03 15:52:32.523, NVIDIA GeForce RTX 4090, 79 %, 76 %, 18073 MiB, 248.64 W
2026/01/03 15:52:33.526, NVIDIA GeForce RTX 4090, 79 %, 76 %, 18003 MiB, 272.04 W
2026/01/03 15:52:34.528, NVIDIA GeForce RTX 4090, 97 %, 18 %, 17845 MiB, 254.32 W
2026/01/03 15:52:35.530, NVIDIA GeForce RTX 4090, 90 %, 87 %, 17439 MiB, 301.34 W
2026/01/03 15:52:36.533, NVIDIA GeForce RTX 4090, 90 %, 87 %, 17989 MiB, 285.71 W
